,healthy0,healthy1,healthy2,healthy3,T2D0,T2D1,T2D2,T2D3,CRC0,CRC1,CRC2,CRC3,IBD0,IBD1,IBD2,IBD3
healthy0,,0.43939393939393934,0.35416666666666663,0.28321678321678323,0.3194444444444444,0.4007936507936508,0.2676470588235294,0.23717948717948717,0.19930069930069932,0.2285714285714286,0.30341880341880345,0.15714285714285714,0.11309523809523808,0.23717948717948717,0.03125,0.18333333333333335
healthy1,0.43939393939393934,,0.39583333333333337,0.2694805194805195,0.30341880341880345,0.275,0.15277777777777776,0.2792207792207792,0.35,0.2777777777777778,0.28968253968253965,0.14285714285714285,0.12215909090909091,0.27564102564102566,0.10096153846153846,0.17708333333333331
healthy2,0.35416666666666663,0.39583333333333337,,0.18831168831168832,0.33333333333333337,0.39743589743589747,0.21764705882352942,0.2571428571428571,0.20833333333333334,0.18888888888888888,0.15555555555555556,0.2094017094017094,0.11538461538461539,0.1575757575757576,0.15384615384615385,0.23397435897435898
healthy3,0.28321678321678323,0.2694805194805195,0.18831168831168832,,0.27622377622377625,0.4,0.27525252525252525,0.2554945054945055,0.38257575757575757,0.36764705882352944,0.2597402597402597,0.3,0.13846153846153847,0.1294642857142857,0.2755681818181818,0.2700534759358289
T2D0,0.3194444444444444,0.30341880341880345,0.33333333333333337,0.27622377622377625,,0.26666666666666666,0.3137254901960784,0.23397435897435898,0.14285714285714285,0.125,0.17857142857142858,0.14285714285714285,0.06666666666666667,0.10416666666666666,0.10416666666666666,0.10049019607843138
T2D1,0.4007936507936508,0.275,0.39743589743589747,0.4,0.26666666666666666,,0.2149122807017544,0.24358974358974358,0.25595238095238093,0.24705882352941178,0.29545454545454547,0.17045454545454547,0.2619047619047619,0.165158371040724,0.29166666666666663,0.375
T2D2,0.2676470588235294,0.15277777777777776,0.21764705882352942,0.27525252525252525,0.3137254901960784,0.2149122807017544,,0.2239819004524887,0.12061403508771928,0.35,0.2388888888888889,0.35416666666666663,0.23846153846153847,0.2239819004524887,0.15587044534412955,0.18218623481781376
T2D3,0.23717948717948717,0.2792207792207792,0.2571428571428571,0.2554945054945055,0.23397435897435898,0.24358974358974358,0.2239819004524887,,0.27564102564102566,0.275,0.44166666666666665,0.28321678321678323,0.23214285714285715,0.32727272727272727,0.13333333333333333,0.2091346153846154
CRC0,0.19930069930069932,0.35,0.20833333333333334,0.38257575757575757,0.14285714285714285,0.25595238095238093,0.12061403508771928,0.27564102564102566,,0.2361111111111111,0.3418803418803419,0.30341880341880345,0.32936507936507936,0.1813186813186813,0.34285714285714286,0.4563492063492064
CRC1,0.2285714285714286,0.2777777777777778,0.18888888888888888,0.36764705882352944,0.125,0.24705882352941178,0.35,0.275,0.2361111111111111,,0.21180555555555555,0.38095238095238093,0.17878787878787877,0.20833333333333331,0.17914438502673796,0.35
CRC2,0.30341880341880345,0.28968253968253965,0.15555555555555556,0.2597402597402597,0.17857142857142858,0.29545454545454547,0.2388888888888889,0.44166666666666665,0.3418803418803419,0.21180555555555555,,0.23412698412698413,0.24285714285714285,0.2833333333333333,0.13541666666666666,0.2159090909090909
CRC3,0.15714285714285714,0.14285714285714285,0.2094017094017094,0.3,0.14285714285714285,0.17045454545454547,0.35416666666666663,0.28321678321678323,0.30341880341880345,0.38095238095238093,0.23412698412698413,,0.11212121212121212,0.23397435897435898,0.25,0.2833333333333333
IBD0,0.11309523809523808,0.12215909090909091,0.11538461538461539,0.13846153846153847,0.06666666666666667,0.2619047619047619,0.23846153846153847,0.23214285714285715,0.32936507936507936,0.17878787878787877,0.24285714285714285,0.11212121212121212,,0.21306818181818182,0.33333333333333337,0.3173076923076923
IBD1,0.23717948717948717,0.27564102564102566,0.1575757575757576,0.1294642857142857,0.10416666666666666,0.165158371040724,0.2239819004524887,0.32727272727272727,0.1813186813186813,0.20833333333333331,0.2833333333333333,0.23397435897435898,0.21306818181818182,,0.13392857142857142,0.2091346153846154
IBD2,0.03125,0.10096153846153846,0.15384615384615385,0.2755681818181818,0.10416666666666666,0.29166666666666663,0.15587044534412955,0.13333333333333333,0.34285714285714286,0.17914438502673796,0.13541666666666666,0.25,0.33333333333333337,0.13392857142857142,,0.5307692307692308
IBD3,0.18333333333333335,0.17708333333333331,0.23397435897435898,0.2700534759358289,0.10049019607843138,0.375,0.18218623481781376,0.2091346153846154,0.4563492063492064,0.35,0.2159090909090909,0.2833333333333333,0.3173076923076923,0.2091346153846154,0.5307692307692308,
