"","SAMD00115014","SAMD00114972","SAMD00115021","SAMD00114969","SAMD00115020","SAMD00115029","SAMD00115026","SAMD00115028","SAMD00115030","SAMD00115031","SAMD00115034","SAMD00115035","SAMD00115000","SAMD00114737","SAMD00114738","SAMD00114739","SAMD00114744","SAMD00114746","SAMD00114748","SAMD00114740","SAMD00114742","SAMD00114743","SAMD00114759","SAMD00114760","SAMD00114761","SAMD00114762","SAMD00114763","SAMD00114764","SAMD00114755","SAMD00114765","SAMD00114978","SAMD00114766","SAMD00114767","SAMD00114768","SAMD00114772","SAMD00114722","SAMD00114723","SAMD00114724","SAMD00114793","SAMD00114794","SAMD00114797","SAMD00114799","SAMD00114753","SAMD00114754","SAMD00114749","SAMD00114750","SAMD00114782","SAMD00114774","SAMD00114775","SAMD00114776","SAMD00114777","SAMD00114731","SAMD00114732","SAMD00114733","SAMD00114726","SAMD00114727","SAMD00114728","SAMD00114729","SAMD00114788","SAMD00114790","SAMD00114786","SAMD00115006","SAMD00115007","SAMD00115011","SAMD00115013","SAMD00115010","SAMD00114816","SAMD00114804","SAMD00114805","SAMD00114806","SAMD00114808","SAMD00114810","SAMD00114811","SAMD00114813","SAMD00114814","SAMD00114826","SAMD00114822","SAMD00114823","SAMD00114857","SAMD00114825","SAMD00114817","SAMD00114835","SAMD00114836","SAMD00114803","SAMD00114841","SAMD00114844","SAMD00114846","SAMD00114848","SAMD00114849","SAMD00114863","SAMD00114852","SAMD00114868","SAMD00114839","SAMD00114840","SAMD00114856","SAMD00114870","SAMD00114871","SAMD00114927","SAMD00114891","SAMD00114939","SAMD00114892","SAMD00114893","SAMD00114875","SAMD00114931","SAMD00114894","SAMD00114933","SAMD00114941","SAMD00114896","SAMD00114897","SAMD00114877","SAMD00114878","SAMD00114934","SAMD00114935","SAMD00114943","SAMD00114944","SAMD00114909","SAMD00114919","SAMD00114920","SAMD00114949","SAMD00114910","SAMD00114911","SAMD00114921","SAMD00114922","SAMD00114951","SAMD00114912","SAMD00114952","SAMD00114924","SAMD00114954","SAMD00114914","SAMD00114946","SAMD00114925","SAMD00114956","SAMD00114915","SAMD00114916","SAMD00114917","SAMD00114948","SAMD00114957","SAMD00114958","SAMD00114879","SAMD00114960","SAMD00114883","SAMD00114884","SAMD00114902","SAMD00114903","SAMD00114964","SAMD00114905","SAMD00114965","SAMD00114907","SAMD00114966","SAMD00114886","SAMD00164694","SAMD00164695","SAMD00164721","SAMD00164745","SAMD00154993","SAMD00164767","SAMD00164769","SAMD00154994","SAMD00164771","SAMD00154995","SAMD00164776","SAMD00164778","SAMD00164779","SAMD00164780","SAMD00164812","SAMD00164817","SAMD00164818","SAMD00164820","SAMD00164821","SAMD00164822","SAMD00164826","SAMD00164829","SAMD00164830","SAMD00164831","SAMD00164832","SAMD00164834","SAMD00164836","SAMD00164838","SAMD00164839","SAMD00164841","SAMD00164842","SAMD00164843","SAMD00164844","SAMD00164845","SAMD00164846","SAMD00164847","SAMD00164850","SAMD00164851","SAMD00164852","SAMD00164854","SAMD00164858","SAMD00164859","SAMD00164860","SAMD00164861","SAMD00164863","SAMD00164864","SAMD00164866","SAMD00164867","SAMD00164868","SAMD00164869","SAMD00164871","SAMD00164880","SAMD00164883","SAMD00164884","SAMD00164885","SAMD00164889","SAMD00164903","SAMD00164905","SAMD00164907","SAMD00164910","SAMD00164912","SAMD00164913","SAMD00164919","SAMD00164928","SAMD00164932","SAMD00164937","SAMD00164940","SAMD00164944","SAMD00164946","SAMD00164968","SAMD00164970","SAMD00164971","SAMD00164974","SAMD00164975","SAMD00164976","SAMD00164977","SAMD00164978","SAMD00164979","SAMD00164980","SAMD00164981","SAMD00164982","SAMD00164984","SAMD00164985","SAMD00164987","SAMD00164988","SAMD00164989","SAMD00164990","SAMD00164991","SAMD00164992","SAMD00164993","SAMD00164994","SAMD00164995","SAMD00164997","SAMD00164998","SAMD00165000","SAMD00165002","SAMD00165003","SAMD00165005","SAMD00165006","SAMD00165007","SAMD00165009","SAMD00165011","SAMD00165012","SAMD00165014","SAMD00165016","SAMD00165017","SAMD00165018","SAMD00165019"
"Alistipes putredinis",0.53416,0,0.12598,0.46856,0.00442,7.13821,3.45104,0,0,0,0.11966,1.39234,0,0.11199,2.43995,2.58798,3.29356,0,0,3.17231,0,0.02898,0,0,5.51713,1.71268,0.02202,1.51198,0,0,0,2.74029,0,0,4.3575,1.18022,0,0,0.01074,13.13857,6.06322,0,0,0.04799,3.11403,9.24442,5.90102,0,3.49077,0.04773,0,6.3015,4.49195,0.88386,1.25618,4.12926,1.6507,5.4879,0,7.36363,0,3.87586,2.5085,2.36288,4.62355,0.00098,0.03222,9.63119,1.05372,0,0,0,0.89907,0,4.62677,15.26256,0,5.14652,0,0,0.24798,3.06972,0.01602,1.27766,3.04685,0.29568,0,4.33777,1.63835,0.00334,0.76415,0.01997,1.359,0.68312,4.39919,2.29309,1.01263,1.30968,4.03246,5.76487,0.61752,0,0,0.27474,0,0,0,0,0.25901,0.75585,0.42194,0.41313,0,2.82725,0.0098,0.18578,3.79856,0,0,2.18944,0,5.8865,2.67051,0,1.28716,0.88885,3.3241,0.1986,0,3.66337,6.99008,0,0,3.84225,0,5.20109,0.0438,1.43416,6.52845,2.17294,0,0,0,8.08777,0,0,0.06574,0,0.21753,2.99768,0.15537,0.95981,0,0.23701,0.00159,2.88944,1.77981,5.3791,0.02025,0,2.17925,0.27478,0.99153,0,0,0,0.95374,0,0.0584,0.01435,0,0,0,0.1266,0,1.75829,2.58463,16.96856,0,0.00054,0,3.53406,0.83389,0,0,0,0,0,0.02765,3.29514,0.12743,3.55246,3.6109,1.27526,2.02336,4.2992,0,0,0,9.06981,0,0,2.36939,6.37288,2.37484,0.55008,0.13034,0,0.82973,0,2.44327,1.64665,1.77621,0,0,4.58589,0.02115,0.00798,3.58907,0.02349,0,2.96102,9.43433,0,2.68238,0,0,0,0,0.8561,1.09573,0,4.36436,3.85253,8.07286,0,0,0,16.31601,0.07671,6.31946,5.26471,0,0,0,1.99167,2.5312,0,1.64706,2.10097,0,0.02911,2.48218,0,0,3.42152,0.59498,5.83664
"Roseburia sp. CAG:303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55245,0,0,0,0,0,0,0,0
"Brachyspira sp. CAG:700",0,20.95111,1.30244,0,0,0,0,0,0,0,0,0.30696,0,0,0,4.1842,0,0,0,0,0,0,0,0,0,0,0,6.25034,0,0,0,0,0.5301,0,0,9.35594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02914,0,0,0,0,0,0,0.2915,0,0,0,0,0,0,0,0,1.96711,0,0,0,0,0,0,0,0,0,0,0,0.20446,0,2.1594,0,0,0,0,0,0,0,0,0,0,0,1.27335,0,0,0,0,0,0,0,0,0,0,0,0,12.35949,0,0,0,7.3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13803,0,0,0,0,0,0,0,0,0,0,0,0,0.52775,0,0,0,0,0,0,0,0.32335,0,0,0,0,0.64028,0,0,0,0.0377,0,0,0,0,0,0,0,0,0,0,0,2.76166,1.61736,0,0,0,0,0.74173,0,0,0,1.81688,0,0,0,0,0.50945,0,0,0,0,0,0,0,0,0.54457,0,0,0,0,0,0,0,0,0,5.20023,0,0,0,0,0,0,0,0
"Parabacteroides merdae",0.73098,1.81511,1.10593,1.97297,0.99203,1.21065,1.94727,0.32598,0.57373,0,2.29729,1.82436,0,0,0.89231,0.70846,0.36114,0,0,3.19114,0,4.93157,3.19156,0.01346,0.66279,3.92983,3.69325,1.52503,1.92073,0.13675,1.07683,3.05733,1.81218,1.27385,3.73914,0.93998,0.65001,1.79635,1.35288,6.68622,0,4.8849,0.01834,0.99752,1.33367,0.6292,3.03801,0,2.53718,0,1.11085,1.80199,1.286,0.66681,0.49364,0.45939,1.42034,1.40736,5.71742,0.18937,0,0.01802,4.59278,0.81802,1.19625,0.35915,1.11628,0.89811,0.60803,0,0,1.11914,0.55242,0.02379,1.26272,0,0,1.58331,0,0,3.55368,2.29256,8.33315,1.12113,2.75822,0.91801,5.58209,1.57916,0.25155,2.0956,1.60396,0.24574,0.13002,0.75044,0.03435,2.27425,2.05775,3.61516,1.98127,3.37208,1.36921,0,0,0.53508,1.03538,0.03998,1.53011,3.20392,0,0.39821,1.53091,0.48038,0.19236,2.44871,0.17175,1.12173,0,0,0,6.62467,2.52425,0.89311,0.4947,0.83416,1.46807,1.13449,1.25563,0.58104,2.24253,0.27072,0,0,3.90407,4.61932,0.19611,0.56924,2.69727,1.42333,3.16757,0.69981,0,0,0.02615,2.57272,2.70107,0,1.83039,1.36071,2.6854,2.27582,0,0,0,1.4032,1.4356,1.49646,0.83848,2.26949,0.32497,0,1.16033,0,2.70779,0,0,0.50141,0.28975,0,0,0.21485,0.0036,0.9571,0.37725,0.25914,0.84487,1.89143,7.26705,1.92828,0,0.22292,0,3.58185,1.41808,1.00914,0.27998,0.11876,2.40788,0.78016,0.36446,1.13572,3.89192,3.17567,3.49371,7.43491,0,4.35545,0,0,0,0.99469,6.77412,0,4.42629,0.97724,5.37266,0.43523,1.08505,1.73746,9.48116,3.16796,1.09391,1.92223,0.97785,0.3491,0,0.85373,0.6583,0.39303,0,6.83878,0,0,4.11827,0,1.07376,0,0,0.39199,0.79588,0.13273,1.546,0,0.49412,2.31274,0,0.01205,0,0,2.13073,1.08687,7.53106,3.66104,0,4.51152,0,2.23163,2.34734,0.85631,1.76541,0.70263,0,0.11446,0.7475,0,1.82385,0,0.14426,1.88063
"Ruminococcus bicirculans",0,1.723,1.19689,0,0,0.17406,0.0911,0,0,3.91226,0,0,0,0,0,0,0,0,0,1.19585,0,0.0351,1.61886,0.28519,3.61473,0,1.59962,0,0,0,0,0,0,0,0,0.1037,0,0,0,0,0,0,0,0,0,0,0,0,0.01978,0.1238,0,9.22541,0,0,0,0.82747,0,3.28372,0.39297,0,0,0,0,0.42436,0.04778,0,0,0.68089,0,0.09344,0,0.89953,0,0,0,0.6507,0,1.01101,4.80985,0,0,0,0,0,0,0,0,1.77242,1.12292,0,0,0,0,0,0.01169,0.32819,1.03983,0,2.2039,0.24467,0.82177,0,0,0.01235,0,0,0,1.09436,0,0,0,0,0,0,0,0.31678,0.08936,0.75096,0,0,0,0,0,1.81283,0.25119,2.91216,0,0,0,0,0,0,3.18128,0.28928,0,0,4.18523,0.07864,0,0,0,0,0,1.44469,0,0,0.55316,0,0,0,0,0,7.03522,0,0,0.62623,2.35703,1.55731,0,0,0.28059,0,0.26369,0,0,0,0.836,0,0,0,0,0,0,0.56613,0,0,0,0.2299,0,0,0,0,0.50255,0.24459,0,0,0,0,0,0,0.17758,0,0,0,0,0,0.33334,0,0,0,0,4.13703,0,0.11072,0,0,0,0.08457,0,0,0,0,0,0,0,0,0,0.30561,2.03273,0,0,0.525,0,0,0.64837,0,0,0,0,0,0.28648,0,0.81305,0,0,0,0.2524,0,0,0,0.90448,0,0,0,0,0.04646,0.0186,0,0,4.58324,0.79545,1.15823,0,2.62529,0,0.7457,0,0.72823
"Eubacterium ventriosum",0,0.02357,0.01866,0.45232,0,0.09705,0.08339,0.02114,0.18565,0.26704,0,0,0,0.14098,0,0.11728,0.26877,0,0.00031,0.64525,0.05687,0.00047,0.00122,0.04128,0.08139,0.29752,0.09698,0,0.14029,0,0,0,0,0.30936,0,0,0,0,0,0,0.89487,0.21371,3e-04,0,0.12754,0.00122,0,0.32443,0,0.44146,0.34193,0.59026,0.18952,0.00129,0.04721,0,0.01282,0.2034,0,0,0,0,0,0.00823,0.03447,0.00681,0,0.10408,0.06342,0,0.22912,0,0,0,0,0.08062,0.03691,0.12668,0.24282,0,0.02296,0,0,0,0.16396,0,0.09288,0.01997,0,0.19148,0.23573,0.05245,0,0.07959,0.17284,0.41643,0.2018,0,0.07064,0,0.07493,0.15694,0,0.00024,0.27928,0,0.09217,0.08467,0,0.0617,0,0.20203,0,0.08914,0.02502,0,0.08671,0.03414,0,0,0,0.02614,0,0.44155,0.06897,0.11379,0,0,0,0.07177,0.20772,0.05879,0,0.90377,0,0,0.08139,0.29106,0.20964,0,0,0.14738,0,0.04814,0,0.50695,0.01103,0,0,0,0.19031,0.17442,0.38663,0.07573,0,0.00812,0.11403,0.07849,0.03458,0,0.09642,0,0.16014,0,0.07755,0,0.00682,0,0,0.00324,0,0.01972,0.01195,0,0.0022,0,0,0,0.10032,0,0,0,0.02837,0.0049,0,0.01378,0,0,0,0,0.03294,0,0.11176,0,0.20981,0.26256,0.07738,0,0,0,0,0.24597,0.51693,0.26074,0,0,0.4595,0,0.22552,0,0,0.0432,0,0,0.67087,0.02947,0,0.21132,0.31735,0.01574,0,0.06113,0,0,0.08378,2.79059,0,0,0,0,0.09526,0,0.36377,0.04436,0.74783,0.02223,0,0,0.01253,0.09742,0.07326,0,0,0,0,0,0,0.01124,0.01844,0.19415,0,0.02468,0.05685,0.56004,0.27267,0.08926,0,0
"Lactobacillus rogosae",0,0,0,0,0,0,0.10773,0.07944,0,0,0,0,0,0.01578,0,0.06075,0,0,0.05411,0.00775,0.05197,0,0,0,0,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0,0,0.07763,0,0.0074,0,0,0,0,0,0,0,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01292,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,0,0,0.00168,0,0.05621,0,0,0.00141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02393,0,0,0,0,0,0,0,0.71077,0,0,0,0,0,0,0,0.04164,0,0,0,0.02588,0,0,0,0,0,0,0,0,0.00234,0,0,0,0,0,0,0.00217,0,0.03699,0,0,0.02029,0,0,0,0.00536,0,0.21526,0,0,0,0,9e-04,0,0,0.02233,0,0,0.19298,0,0.00311,0,0,0,0,0.00217,0,0,0.2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02334,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0.00957,0,0.0042,0,0,0,0,0,0,0,0.053,0,0,0,0.05368,0,0,0,0,0,0,0,0,0,0.36752,0,0.06395,0,0,0,0,0,0
"Bifidobacterium bifidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0.28817,0,0,0,0.22985,0,0,0,0.12992,0,2.24871,0,1.4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57273,0,0,0,0.85385,0,0.17682,0,0.86828,0,0,0,0,0.35087,0,0,0,1.0826,0,0,0,0,0,0,0.65939,0,0,0,0,0.22314,0,0,0,0,0,0,0,0,0.19854,0,0,0,0.1371,0,0,0.47467,1.24306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39716,0,1.39288,0,0,0,0,0.41876,0,0,0,0,0,0,0,0,0,0,0,0,1.42703,0,0,0,0,0,0,0.71262,0.54698,0,0,0,0.57079,0,0,0,0,0,0,0,0,0,0,0,0,0.41653,0,0.72769,0,2.92612,0,0,0,0,0,0,0,0,0,0.25038,0,0,0,0,0,0,0,0,0.92255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32636,0,1.46658,0.395,1.00392,0,0,0,0,0,0,0,0,0,0,0.12656,0,0,0,0.09471,0,0,0,0,0,0,0,0,0,0,1.89259,0,1.6254,0,0,0,0,0,0.11174,0,0,0.0013,0,0,0,0,0,0,0,0,0,0.66947,0,0,0,0,0,0.05008,0,0,1.07455,0,0,0,0,0
"Eubacterium sp. CAG:38",0,0.31503,0.06603,1.83172,0,0,0,0.24171,2.26814,0.00448,1.66219,0.30847,0.05111,0,0.33447,0.02334,3.01764,0.33473,0,0,0.08533,0.00423,0.17993,0.29376,0.64589,0.21158,0,0,2.12045,0,0,0,0,0,0.02028,0.15772,0,0,0,0,3.01594,0.10457,0,0,3.62412,0.65646,0.13155,0,0.00143,0,0,0.61189,0,0,0.78505,0.01334,0.46851,0.03106,0,0,0.00559,0,2.51452,0.0466,0.06299,0,1.47372,0,1.70084,0,0,0.79468,0,0.49334,0,0,0,0,1.02368,0,0,0,0.10953,0,1.70331,0,0,0.2905,0,0.53554,0,0,0,0,0.2492,0,0.27657,0,0,0,0,0,0,0.06973,0,2.47658,0,2.20092,0,0,0.53547,0,0,0,0,0,0,1.12756,1.35397,0,0,0,0,0.09142,0,0,0,0.19665,0,0.00424,0,0,1.03544,0,0,0.06126,3.27821,1.06054,0,0,0.18448,0,0,3.81897,0,5.26588,0,0,0.01298,2.99096,0,0,0.06504,0.53243,1.53465,0.41046,0.30432,0,0,0.08077,2.13948,0,0.41697,0.45882,0,0,0.05059,0.01164,0,0,0,0,0,0.28865,0,0,3.58062,0,0,0,0,0,0.02142,0,8.00796,0.0193,0.09691,0,0.86949,0,0,0,0,0,0,0,0,0,0.00069,0.13909,0,0,0,2.44182,0.04361,0.58282,0,0.09237,0.26953,0,0,0,0,0,1.7636,0.08287,1.94077,1.16552,0,0,0,0.14911,0,0,0.07106,0,0,0.26458,0,0,0.12764,0,0.72229,0.27485,0.30662,0,0,0,0.19358,0,0,0,0,0,0,0.16287,0,0,2.01186,0,0,0.00778,0.00786,2.14988,0.59293,0,0,0.17393
"Dorea longicatena",0.65297,0.71988,0.39686,1.25949,1.56758,0.67221,3.01246,1.32025,0,2.20903,0.75667,0.05994,0.4687,2.22502,0.54617,1.51463,0.3244,2.88676,2.22121,0.33137,2.94295,0.15679,1.7989,0.52384,0.55601,0.40464,0.29492,0.3556,0,0,0,0,4.92279,0,0.26004,0.3948,0,0,2.15743,0.0585,0.42209,0.50451,0.6228,1.07688,0.56792,0.0808,5.42568,0,1.28321,0,0.10097,0.5071,0.40468,1.66376,0,0.4641,3.49996,0,0,0.32909,0,0,0,1.34105,1.8187,0.18397,0.29362,0.48184,0.11847,0,0,0.59241,1.02033,0,0,0.45105,0.23337,1.22272,0.41853,0,0.15773,0.67012,0.61938,0.26593,2.40704,0.42984,0,0.09705,0.42381,0.16208,0.14358,1.88862,0.12908,2.28864,0.07288,0.72428,0.08917,1.69512,1.09913,0.32201,1.21746,0,0,0.67592,2.30761,0.30713,0.81859,0,0,0.12224,0.39438,1.40319,0,2.36338,0.89573,0.26365,0.29264,0,0,0,0,0.09034,0,0.08464,0.08564,0.07912,0,0.16243,0,0.26785,1.20282,0.9715,1.23021,0,0,0.31958,1.21731,0.28262,0,0.0609,0,0.74831,0,0.42391,0,0,0.12733,1.03142,1.1347,0,2.32012,0,0,0.93568,1.88908,2.24056,2.50968,0.916,3.69879,1.67221,1.47348,0,0,0,0,0.09593,0.59033,0,1.1426,1.03408,0.90279,0.48337,0.1447,0.29243,1.39495,0.40038,0,0,0.24419,0.11135,0,0.19341,0.10867,0.4723,0,0,0,0.3727,0.33094,0,0.17027,0,0,0,0.33593,0.15867,0.47723,0,0.24981,0,0,0.24918,0,0.15157,0,0,0.96736,0.21061,0.32965,0,0,0.7004,0,0,1.60762,0.20422,0.12984,1.86607,0,1.24349,0,0,1.69348,2.87383,0.36108,3.667,2.57304,4.53789,1.42078,0.02978,0.25349,0,0.42676,1.84558,0.86665,0.03195,0,0,0.36099,0.36165,0,0,0,2.36048,0.98233,0.06711,0.02067,0.19777,1.36579,0.20926,0.18094,1.48031,3.01181,3.71367,0,0.24317,5.61086,0
"Eubacterium sp. CAG:274",0,0,0.03491,0.06459,0,0,0.5886,0.00172,0,0,0,0,0,0.02246,0,0,0.02692,0.2279,0.21902,0,0.50731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08519,0,0,0,0,0,0.15532,0.02582,0,0.00102,0,0,0,0,0.00606,0,0.03634,0,0.16972,0.00075,0,0,0.01,0,0,0,0,0,0.74269,0.06861,0,0,0,0,0,0.00499,0,0.04591,0,0,0.16213,0,0,0,0,0,0,0,0.60593,0,0,0,1.24492,0,0,0,0,0.01225,0,0.05053,0,0,0,0,0,0,0,0,0,0,5.17361,0,3.27413,0.05473,0,0,0,0,0,0,0,0,0,0,0.12874,0,0,0.06851,0,0,0.00385,0,0,0,0,0,0,0.84831,0.16994,0.05413,0,0,0,0,0.01505,0,0,0,0,0,0,0.11133,0.09164,0,0,0,0,0,0.02764,0.6499,0,0.30754,0.10021,0,0.09114,0,0,0,0,0,0,0.09055,0,0,0,0,0,0,0.02315,0,0.08666,0.00467,0,0,0,0,0,0,0.02527,0,0,0,0.10643,0,0,0,0,0,0.02106,0,0,0,0,0,0,0.06171,0,0,0,0,0.00632,0,0.16784,0,0.00661,0,0,0,0,0,0.97455,0,0.05491,0,0.18883,0.27628,0,0,0,0,0,0.39984,0,0,0,0,0,0,0,0,0,0.24635,0,0,0,0,0,0,0.02078,0,0,0,0,0,0,0,0.20387,0,0,0,0,0,0,0.01933
"Coprococcus comes",0.20977,0.49507,0.62114,0,0.49047,0.7698,0.32941,0.48575,3.16092,1.92447,0,0.06625,0,0.30227,0,0.63894,0,0,0,0.4668,0,0.08777,1.44353,0,1.2336,0.13027,0.64196,0.23985,0,0,0,0,0,0,0.18766,0.23096,0,0,2.2722,0,0.18821,0,0.00372,0.05198,0,0.16725,0,0,0,0,0.01764,0.66496,0.34515,0.00467,0,0,0,0.59195,0,0.27261,0,0,0,1.05932,0,0,0.10799,0.25833,0.30777,0,0,1.39762,0.1103,0,0,0.0737,0,0.80806,0.47697,0,0,0,0.11259,0.04597,0,0.20078,0,0.17022,0.95622,0.31959,0.57509,0.97039,0.08825,0.41238,0,0.0956,0.1671,2.68322,0.2282,0.09335,0.30547,0,0,0.41296,1.79934,0.40067,0,0,0,0.09546,0,0.59379,0,1.43182,0.8219,0.16749,0.35031,0,0,1.00711,0,0.22483,0,0.21331,0.09759,0.17762,0,0.09114,0,0.00947,0.88356,0,0,0,0,0.07097,1.00385,0.82451,0,0.26347,0,0.4467,0,0.31918,0,0,0.25896,0,0.49742,0,0,0.63217,0,0,0,0,1.20782,0.3398,0.38902,0,1.30506,1.93667,0.38756,0,0,0.13522,0,0,0.88966,0.26274,0,0.02454,0.42095,0.24292,0.17097,0.07874,0,0,1.24925,0.13105,0,0.06612,0,0.3493,0,0,0.34706,0,0.25739,0,0.1437,0,0,0,0.30466,0.45707,0.00991,0,0,0.26542,0,0,0,0.36053,0,0,2.12014,0.08289,0.18023,0.703,0.52473,0,0,0,0.63128,0.25932,0,0.72357,0,0,0,0,0,0,0,0,0,0.88059,0,0,0.19313,0,0.42274,1.0108,0.49466,0.20717,0,0,0.03155,0.15854,0,1.27726,0,0,0,0.06382,0.1188,0.26277,0.71676,0.23678,0,1.04462,1.6715,0,0,0,1.64136,0
"Bacteroides caccae",0,0.37952,0,0.76264,1.80366,0.24434,2.5084,0.03766,2.69705,0,0.04447,1.49198,0.38429,0.32308,0,0.54929,0,1.27554,0.56328,0,0,3.19315,0.04068,0,0,0.44108,0,0.69701,0,0.57127,5.85399,0,3.59859,0.77433,7.83817,0,0,4.47944,0.12997,2.83651,0,0,0,0,0.41633,1.82664,5.33028,0.67105,3.68565,2.00677,0.31325,0.78148,4.3697,1.02438,0.11466,3.67962,0.66142,2.60772,0,0.19211,0,2.6214,3.54393,0.5495,0.3009,0,0.24012,0,3.54805,0,0,1.6126,0.00326,0.13961,2.52106,0,0,1.2808,0,0,0.79156,3.87494,1.53275,0.88013,0,0.19114,0,0.95649,0,0.50109,1.64297,0,0,1.57967,0.90697,0,0.87671,0,0,1.23812,0,0,0,0,0,0.09217,0.12926,2.61063,8.72763,0.21372,3.61672,0.03618,0.08453,0.56465,0.64425,2.11077,0,2.14578,0,0,0,0,4.20119,0,0.13298,2.80927,0,0,0.20369,2.32455,1.87116,0,0,0.72221,0.37636,0,0.74167,0.15032,2.01279,1.07052,0,6.877,0.03594,1.23922,0,3.07498,0.05484,4.87099,0,6.82856,0,0,0,0.56568,2.06558,0,1.45634,0.45651,1.62633,0,0,0,0,0,0.29993,0,0.16773,0,0,0.3714,0,0,0,0.02957,0.25275,1.68674,4.35147,3.68682,0,0.1628,0,0,0.04864,0.18394,0,3.04027,0,0.83055,0,1.60302,0,1.72566,3.5579,1.51023,0,0,0,0,0,6.88026,5.67677,0,0.91551,1.28753,1.68431,3.47124,0.10268,0,0.0245,4.89846,1.19333,0.87754,0.959,2.95432,0,3.59111,0.13916,0.41226,0,0,0,1.44896,0,5.16739,0.18759,0,0,0.06076,1.76814,0,0.28838,0,0.94151,0.15127,1.51493,0,8.17521,3.57376,1.15641,0.03829,2.52042,1.83765,0,0.05222,6.07767,0,0.74196,0.2167,0,2.2435,1.53641,0.66161,0.34238,2.10855,0,0,0.56658,0
