,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,3.2382783882783883,3.2382783882783883,-0.06428571428571428,-1.6833333333333333,2.3882783882783882,-1.6668498168498171,1.554945054945055
Bacteroidetes,3.2382783882783883,0.0,3.2382783882783883,0.12838827838827838,0.8664835164835164,2.3882783882783882,0.06428571428571428,0.85
Firmicutes,3.2382783882783883,3.2382783882783883,0.0,0.7692307692307693,-2.404945054945055,1.554945054945055,-0.85,-1.5716117216117216
Fusobacteria,-0.06428571428571428,0.12838827838827838,0.7692307692307693,0.0,-1.554945054945055,-0.8333333333333334,0.7692307692307693,0.0
Lentisphaerae,-1.6833333333333333,0.8664835164835164,-2.404945054945055,-1.554945054945055,0.0,2.4525641025641027,0.7692307692307693,0.7692307692307693
Proteobacteria,2.3882783882783882,2.3882783882783882,1.554945054945055,-0.8333333333333334,2.4525641025641027,0.0,1.6833333333333333,-0.8333333333333334
Synergistetes,-1.6668498168498171,0.06428571428571428,-0.85,0.7692307692307693,0.7692307692307693,1.6833333333333333,0.0,0.0
Verrucomicrobia,1.554945054945055,0.85,-1.5716117216117216,0.0,0.7692307692307693,-0.8333333333333334,0.0,0.0
