,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,0.06126482213438733,1.2430830039525693,0.0,1.2751196172248804,0.6521739130434783,1.8751196172248803,0.0
Bacteroidetes,0.06126482213438733,0.0,1.2751196172248804,0.0,0.7454753484501768,0.03203661327231122,1.2521739130434781,1.2842105263157895
Firmicutes,1.2430830039525693,1.2751196172248804,0.0,0.06126482213438733,-2.5272935302683583,1.9363844393592675,-2.5272935302683583,-1.2751196172248804
Fusobacteria,0.0,0.0,0.06126482213438733,0.0,-0.14547534845017684,-0.06126482213438733,0.03203661327231122,-0.6842105263157895
Lentisphaerae,1.2751196172248804,0.7454753484501768,-2.5272935302683583,-0.14547534845017684,0.0,-1.2842105263157895,0.5909090909090909,1.190909090909091
Proteobacteria,0.6521739130434783,0.03203661327231122,1.9363844393592675,-0.06126482213438733,-1.2842105263157895,0.0,-2.5272935302683583,-0.009090909090909038
Synergistetes,1.8751196172248803,1.2521739130434781,-2.5272935302683583,0.03203661327231122,0.5909090909090909,-2.5272935302683583,0.0,1.3272935302683586
Verrucomicrobia,0.0,1.2842105263157895,-1.2751196172248804,-0.6842105263157895,1.190909090909091,-0.009090909090909038,1.3272935302683586,0.0
