,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,0.6521739130434783,0.6521739130434783,0.6521739130434783,-0.5415296553403969,0.6521739130434783,1.8725490196078431,1.9294848374132263
Bacteroidetes,0.6521739130434783,0.0,1.8725490196078431,-0.5714285714285714,-1.2203751065643649,-0.5415296553403969,-0.6251370113262696,-1.2773109243697478
Firmicutes,0.6521739130434783,1.8725490196078431,0.0,-0.5952380952380952,-1.8725490196078431,1.95329436122275,-1.95329436122275,-1.9294848374132263
Fusobacteria,0.6521739130434783,-0.5714285714285714,-0.5952380952380952,0.0,-0.7866276945560834,0.5144927536231884,0.6489465351357935,-1.2773109243697478
Lentisphaerae,-0.5415296553403969,-1.2203751065643649,-1.8725490196078431,-0.7866276945560834,0.0,1.8725490196078431,1.1666666666666665,0.5952380952380952
Proteobacteria,0.6521739130434783,-0.5415296553403969,1.95329436122275,0.5144927536231884,1.8725490196078431,0.0,-1.8188405797101448,1.2773109243697478
Synergistetes,1.8725490196078431,-0.6251370113262696,-1.95329436122275,0.6489465351357935,1.1666666666666665,-1.8188405797101448,0.0,1.9294848374132263
Verrucomicrobia,1.9294848374132263,-1.2773109243697478,-1.9294848374132263,-1.2773109243697478,0.5952380952380952,1.2773109243697478,1.9294848374132263,0.0
