,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,3.1014285714285714,2.4214285714285713,-0.68,1.4895238095238095,2.4214285714285713,0.68,1.4895238095238095
Bacteroidetes,3.1014285714285714,0.0,2.3395238095238096,2.3395238095238096,0.7619047619047619,-1.611904761904762,-0.04761904761904767,1.5714285714285714
Firmicutes,2.4214285714285713,2.3395238095238096,0.0,-1.611904761904762,0.0,1.441904761904762,0.0,0.7619047619047619
Fusobacteria,-0.68,2.3395238095238096,-1.611904761904762,0.0,-3.1014285714285714,1.53,-1.53,-0.04761904761904767
Lentisphaerae,1.4895238095238095,0.7619047619047619,0.0,-3.1014285714285714,0.0,0.85,-2.291904761904762,-1.5714285714285714
Proteobacteria,2.4214285714285713,-1.611904761904762,1.441904761904762,1.53,0.85,0.0,1.6595238095238094,-2.2514285714285713
Synergistetes,0.68,-0.04761904761904767,0.0,-1.53,-2.291904761904762,1.6595238095238094,0.0,-0.7619047619047619
Verrucomicrobia,1.4895238095238095,1.5714285714285714,0.7619047619047619,-0.04761904761904767,-1.5714285714285714,-2.2514285714285713,-0.7619047619047619,0.0
