,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,3.2382783882783883,3.2382783882783883,1.6357142857142857,0.7858974358974359,2.3882783882783882,1.6998168498168498,-0.704945054945055
Bacteroidetes,3.2382783882783883,0.0,3.2382783882783883,0.04761904761904767,-0.8335164835164836,1.554945054945055,-3.2382783882783883,-0.016666666666666607
Firmicutes,3.2382783882783883,3.2382783882783883,0.0,-0.85,-1.6357142857142857,1.6025641025641026,-1.6833333333333333,0.7692307692307693
Fusobacteria,1.6357142857142857,0.04761904761904767,-0.85,0.0,-1.554945054945055,-0.8333333333333334,0.7692307692307693,0.0
Lentisphaerae,0.7858974358974359,-0.8335164835164836,-1.6357142857142857,-1.554945054945055,0.0,1.6833333333333333,0.7692307692307693,0.0
Proteobacteria,2.3882783882783882,1.554945054945055,1.6025641025641026,-0.8333333333333334,1.6833333333333333,0.0,1.6833333333333333,-0.04761904761904767
Synergistetes,1.6998168498168498,-3.2382783882783883,-1.6833333333333333,0.7692307692307693,0.7692307692307693,1.6833333333333333,0.0,0.7692307692307693
Verrucomicrobia,-0.704945054945055,-0.016666666666666607,0.7692307692307693,0.0,0.0,-0.04761904761904767,0.7692307692307693,0.0
