,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,0.6521739130434783,-0.047826086956521685,0.0,0.7,1.3521739130434782,1.8714285714285712,0.5714285714285714
Bacteroidetes,0.6521739130434783,0.0,1.2714285714285714,-0.5714285714285714,-0.6192546583850931,0.047826086956521685,0.5521739130434782,-0.6714285714285714
Firmicutes,-0.047826086956521685,1.2714285714285714,0.0,1.3521739130434782,-2.5236024844720495,1.952173913043478,-2.5236024844720495,-0.5714285714285714
Fusobacteria,0.0,-0.5714285714285714,1.3521739130434782,0.0,0.5192546583850931,-0.7807453416149068,-0.6521739130434783,-0.5714285714285714
Lentisphaerae,0.7,-0.6192546583850931,-2.5236024844720495,0.5192546583850931,0.0,0.6714285714285714,0.5714285714285714,0.6
Proteobacteria,1.3521739130434782,0.047826086956521685,1.952173913043478,-0.7807453416149068,0.6714285714285714,0.0,-1.1236024844720496,0.6714285714285714
Synergistetes,1.8714285714285712,0.5521739130434782,-2.5236024844720495,-0.6521739130434783,0.5714285714285714,-1.1236024844720496,0.0,0.6236024844720497
Verrucomicrobia,0.5714285714285714,-0.6714285714285714,-0.5714285714285714,-0.5714285714285714,0.6,0.6714285714285714,0.6236024844720497,0.0
