,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,2.9008767738744856,2.9008767738744856,-0.6956521739130435,1.4851258581235698,1.4157509157509156,-1.4433198380566803,0.6814150761519183
Bacteroidetes,2.9008767738744856,0.0,2.9008767738744856,0.0,-0.6956521739130435,0.027568922305764465,2.1389720119697238,0.6956521739130435
Firmicutes,2.9008767738744856,2.9008767738744856,0.0,-0.7476676641436367,0.0,1.4851258581235698,-0.6956521739130435,-0.027568922305764465
Fusobacteria,-0.6956521739130435,0.0,-0.7476676641436367,0.0,-1.4575569358178053,2.2052245999614417,-0.7619047619047619,0.0
Lentisphaerae,1.4851258581235698,-0.6956521739130435,0.0,-1.4575569358178053,0.0,-0.027568922305764465,-0.7619047619047619,0.0
Proteobacteria,1.4157509157509156,0.027568922305764465,1.4851258581235698,2.2052245999614417,-0.027568922305764465,0.0,0.7619047619047619,-1.3494983277591972
Synergistetes,-1.4433198380566803,2.1389720119697238,-0.6956521739130435,-0.7619047619047619,-0.7619047619047619,0.7619047619047619,0.0,0.0
Verrucomicrobia,0.6814150761519183,0.6956521739130435,-0.027568922305764465,0.0,0.0,-1.3494983277591972,0.0,0.0
