,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,3.2382783882783883,3.2382783882783883,0.7690476190476191,0.704945054945055,0.7692307692307693,-1.6192307692307693,-0.7216117216117216
Bacteroidetes,3.2382783882783883,0.0,3.2382783882783883,0.06428571428571428,-1.5382783882783884,2.3882783882783882,-0.7525641025641027,0.85
Firmicutes,3.2382783882783883,3.2382783882783883,0.0,0.0,-0.85,2.3882783882783882,-1.6357142857142857,0.704945054945055
Fusobacteria,0.7690476190476191,0.06428571428571428,0.0,0.0,-1.554945054945055,-0.8333333333333334,0.7692307692307693,0.0
Lentisphaerae,0.704945054945055,-1.5382783882783884,-0.85,-1.554945054945055,0.0,1.6833333333333333,0.7692307692307693,0.0
Proteobacteria,0.7692307692307693,2.3882783882783882,2.3882783882783882,-0.8333333333333334,1.6833333333333333,0.0,2.469047619047619,-0.8333333333333334
Synergistetes,-1.6192307692307693,-0.7525641025641027,-1.6357142857142857,0.7692307692307693,0.7692307692307693,2.469047619047619,0.0,0.7692307692307693
Verrucomicrobia,-0.7216117216117216,0.85,0.704945054945055,0.0,0.0,-0.8333333333333334,0.7692307692307693,0.0
