,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,3.166849816849817,3.166849816849817,2.3335164835164837,2.3976190476190475,2.316849816849817,-0.038278388278388364,0.795054945054945
Bacteroidetes,3.166849816849817,0.0,2.4525641025641027,-0.07161172161172158,-1.6833333333333333,1.4835164835164836,-2.3335164835164837,0.8333333333333334
Firmicutes,3.166849816849817,2.4525641025641027,0.0,0.0,-1.6833333333333333,2.316849816849817,-1.5642857142857143,-0.0807692307692307
Fusobacteria,2.3335164835164837,-0.07161172161172158,0.0,0.0,-1.4835164835164836,-1.5476190476190477,0.7692307692307693,-0.7142857142857143
Lentisphaerae,2.3976190476190475,-1.6833333333333333,-1.6833333333333333,-1.4835164835164836,0.0,1.6833333333333333,0.7692307692307693,-0.7142857142857143
Proteobacteria,2.316849816849817,1.4835164835164836,2.316849816849817,-1.5476190476190477,1.6833333333333333,0.0,1.6833333333333333,-0.8333333333333334
Synergistetes,-0.038278388278388364,-2.3335164835164837,-1.5642857142857143,0.7692307692307693,0.7692307692307693,1.6833333333333333,0.0,1.4835164835164836
Verrucomicrobia,0.795054945054945,0.8333333333333334,-0.0807692307692307,-0.7142857142857143,-0.7142857142857143,-0.8333333333333334,1.4835164835164836,0.0
