,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,2.9921052631578946,2.3121052631578944,-1.3078947368421052,2.9921052631578946,0.75,-0.9121052631578946,1.4300000000000002
Bacteroidetes,2.9921052631578946,0.0,2.9921052631578946,-0.8421052631578947,-1.5921052631578947,0.68,0.6278947368421053,1.5621052631578947
Firmicutes,2.3121052631578944,2.9921052631578946,0.0,2.15,0.0,0.72,-0.6278947368421053,0.0
Fusobacteria,-1.3078947368421052,-0.8421052631578947,2.15,0.0,-2.2421052631578946,1.5221052631578948,-1.4300000000000002,-0.8421052631578947
Lentisphaerae,2.9921052631578946,-1.5921052631578947,0.0,-2.2421052631578946,0.0,0.12210526315789472,-0.68,-1.5621052631578947
Proteobacteria,0.75,0.68,0.72,1.5221052631578948,0.12210526315789472,0.0,1.5921052631578947,-2.15
Synergistetes,-0.9121052631578946,0.6278947368421053,-0.6278947368421053,-1.4300000000000002,-0.68,1.5921052631578947,0.0,0.0
Verrucomicrobia,1.4300000000000002,1.5621052631578947,0.0,-0.8421052631578947,-1.5621052631578947,-2.15,0.0,0.0
