,Actinobacteria,Bacteroidetes,Firmicutes,Fusobacteria,Lentisphaerae,Proteobacteria,Synergistetes,Verrucomicrobia
Actinobacteria,0.0,3.0040100250626565,2.3240100250626563,-0.8021052631578948,0.68,-0.04190476190476189,-0.039999999999999925,2.1619047619047618
Bacteroidetes,3.0040100250626565,0.0,3.0040100250626565,-0.039999999999999925,0.8421052631578947,1.441904761904762,0.0,0.8421052631578947
Firmicutes,2.3240100250626563,3.0040100250626565,0.0,0.0,-0.12210526315789472,0.8421052631578947,0.72,0.08020050125313283
Fusobacteria,-0.8021052631578948,-0.039999999999999925,0.0,0.0,-2.1619047619047618,2.2840100250626567,-1.441904761904762,0.0
Lentisphaerae,0.68,0.8421052631578947,-0.12210526315789472,-2.1619047619047618,0.0,0.8840100250626566,-2.2840100250626567,-1.5621052631578947
Proteobacteria,-0.04190476190476189,1.441904761904762,0.8421052631578947,2.2840100250626567,0.8840100250626566,0.0,1.6040100250626566,-2.2421052631578946
Synergistetes,-0.039999999999999925,0.0,0.72,-1.441904761904762,-2.2840100250626567,1.6040100250626566,0.0,-0.8421052631578947
Verrucomicrobia,2.1619047619047618,0.8421052631578947,0.08020050125313283,0.0,-1.5621052631578947,-2.2421052631578946,-0.8421052631578947,0.0
